place_name,food,address,dong,gu,lat,lng
리트리트커피로스터즈,카페/디저트,서울특별시 강북구 한천로139길 11,수유3동,강북구,37.6395671015453,127.026243759698
순자네포차,야식,서울특별시 중랑구 봉우재로65길 49,망우본동,중랑구,37.5973206482231,127.097579039033
롯데노원 장상궁 남촌칼제비,한식,서울특별시 노원구 동일로 1414,상계2동,노원구,37.6552787315469,127.061391730931
쌍둥이네,한식,서울특별시 노원구 월계로45가길 94,월계2동,노원구,37.6317613748101,127.052338603781
하루노미즈,한식,서울특별시 은평구 연서로5길 3,역촌동,은평구,37.6039962485329,126.915226913507
할머니 분식,분식,서울특별시 은평구 통일로 850,불광2동,은평구,37.6193203344525,126.921445035076
포레스트커피&펍,카페/디저트,서울특별시 강북구 삼양로181길 196,우이동,강북구,37.6715619281318,127.006378967841
스시 미고로,돈까스/일식,서울특별시 도봉구 방학로 137,방학1동,도봉구,37.662605231652,127.037014012845
거기시켜 덮밥&간식(노원점),돈까스/일식,서울특별시 노원구 노해로 455,상계6.7동,노원구,37.6541666670975,127.058519890434
쭈꾸미 부대,한식,서울특별시 중랑구 사가정로50길 76,면목7동,중랑구,37.5776835187822,127.084619511408
연어세상참치동네,회,서울특별시 성북구 보문로40길 29,삼선동,성북구,37.5921275990755,127.015109375035
퍼즐바,아시안/양식,서울특별시 광진구 광나루로 383,군자동,광진구,37.5480732259171,127.072493969391
수제비집,한식,서울특별시 동대문구 홍릉로17길 10,청량리동,동대문구,37.5862391923435,127.04262154003
정선 육회&연어,회,서울특별시 동대문구 답십리로65길 80,장안2동,동대문구,37.5760770469136,127.069886725508
아나바,돈까스/일식,서울특별시 용산구 한강대로 168-2,한강로동,용산구,37.5336967726087,126.972674084438
나우,아시안/양식,서울특별시 용산구 원효로89길 23,원효로1동,용산구,37.5407357607493,126.967725341072
다람,한식,서울특별시 중구 다동길 46,명동,중구,37.5678614943581,126.981726148037
전家곱창,한식,서울특별시 중구 을지로3길 30-5,명동,중구,37.5676791400697,126.981773054016
호랑이쌀국수 시청점,아시안/양식,서울특별시 중구 서소문로 89-20,소공동,중구,37.5632510909133,126.972031493823
삼겹포차,야식,서울특별시 동대문구 답십리로 271-6,장안2동,동대문구,37.57295102402,127.070831173533
용두홍어,한식,서울특별시 동대문구 경동시장로8길 47 (청량리동),청량리동,동대문구,37.5811816827023,127.043266117847
팡팡마차,분식,서울특별시 동대문구 한천로39길 27,전농2동,동대문구,37.5782250576743,127.066701593769
이알앤(ERN),아시안/양식,서울특별시 성동구 서울숲2길 8-7,성수1가2동,성동구,37.5472091943403,127.039598846601
꼴목,치킨,서울특별시 광진구 아차산로51길 33,구의1동,광진구,37.5384670141018,127.084842882461
짱마약꼬마김밥,도시락,서울특별시 은평구 연서로34길 3,불광2동,은평구,37.6214512112854,126.926835169115
코다리밥상,한식,서울특별시 은평구 통일로87길 6-7,갈현1동,은평구,37.6237504362873,126.918968673724
라홍방마라탕 덕성여대점,찜탕,서울특별시 강북구 4.19로 2,우이동,강북구,37.6483433423436,127.013922798622
감성쭈꾸미,한식,서울특별시 노원구 수락산로 212,상계1동,노원구,37.6708275957536,127.055377806803
해피퍼피하우스,아시안/양식,서울특별시 용산구 녹사평대로 168-11,이태원1동,용산구,37.533404579256,126.989608765998
솔솥 서촌점,한식,서울특별시 종로구 자하문로 23,사직동,종로구,37.5780784574885,126.971476891882
디(D)카페,카페/디저트,서울특별시 중랑구 용마산로 421-1,면목3.8동,중랑구,37.5892336409489,127.096455710436
계혁명,치킨,서울특별시 동대문구 망우로16길 26,휘경2동,동대문구,37.5890045031842,127.061111599459
커피노아,카페/디저트,서울특별시 동대문구 장한로28가길 70,장안2동,동대문구,37.5761393365097,127.07296289353
비에이치씨 구의점,치킨,서울특별시 광진구 구의로 40,구의3동,광진구,37.5413942050559,127.090043953218
타스더안주셀렉트샵,한식,서울특별시 광진구 광나루로24길 20,화양동,광진구,37.5454553064569,127.076318784936
이터스 신촌점,아시안/양식,서울특별시 서대문구 연세로 13,신촌동,서대문구,37.5567378385686,126.936559696179
파라삐리포,한식,서울특별시 서대문구 연세로7안길 16-6,신촌동,서대문구,37.558358918592,126.936069507143
커피노마드노원,카페/디저트,서울특별시 노원구 한글비석로33길 16-1,상계5동,노원구,37.6612240465616,127.069499534659
야키토리 혼바,돈까스/일식,서울특별시 용산구 후암로 79,남영동,용산구,37.5528555338443,126.976428956122
모스살롱,아시안/양식,서울특별시 용산구 보광로60길 17,이태원1동,용산구,37.5341669142152,126.995171473281
인사타이,아시안/양식,서울특별시 종로구 인사동길 49,종로1.2.3.4가동,종로구,37.5744668688197,126.983552182559
미식해장,아시안/양식,서울특별시 중구 동호로25길 29,장충동,중구,37.5589908790573,127.001363464019
동원 만원 족발,족발/보쌈,서울특별시 중랑구 상봉로11길 27,면목본동,중랑구,37.589967053526,127.092048898771
신머이 쌀국수 사가정역점,아시안/양식,서울특별시 중랑구 면목로 293,면목7동,중랑구,37.5789582952815,127.0861690858
달콤한커피 길음점,카페/디저트,서울특별시 성북구 삼양로 66,길음2동,성북구,37.609002278777,127.023271412495
뽕스닭강정,치킨,서울특별시 성북구 돌곶이로22나길 26,석관동,성북구,37.6094372035106,127.060878020051
모리,돈까스/일식,서울특별시 광진구 능동로38길 27,중곡2동,광진구,37.5573428620789,127.081490723332
원명동 칼국수,한식,서울특별시 광진구 뚝섬로 645,자양1동,광진구,37.5317138271823,127.081397776835
버거운버거 수유점,패스트푸드,서울특별시 강북구 삼양로 528,우이동,강북구,37.6500763265905,127.013640396717
자매식당,한식,서울특별시 노원구 월계로 370,월계3동,노원구,37.6309766775099,127.06102564028
"카페,아지트",카페/디저트,서울특별시 노원구 월계로 372,월계3동,노원구,37.6292472102426,127.059664124595
태봉김밥,도시락,서울특별시 노원구 공릉로 95,공릉1동,노원구,37.6188459464331,127.078310936686
VIP 큐룸,한식,서울특별시 중구 다산로 245,신당동,중구,37.5650227116885,127.015884329104
김밥킹,도시락,서울특별시 중구 청계천로 100,명동,중구,37.5674727196383,126.98811318937
카페227,카페/디저트,서울특별시 성북구 돌곶이로22길 7,석관동,성북구,37.6102420671878,127.058361327835
도야짬뽕 장안직영점,중식,서울특별시 동대문구 장한로 179,장안2동,동대문구,37.5764749815622,127.071746605254
섭국,한식,서울특별시 서대문구 명지대3길 18,남가좌2동,서대문구,37.5822173566793,126.922796864191
NW푸드,한식,서울특별시 노원구 노해로 455,상계6.7동,노원구,37.6541666670975,127.058519890434
소소떡볶이 중계점,분식,서울특별시 노원구 상계로12길 56,상계2동,노원구,37.655810499217,127.070106559488
사천마라탕,찜탕,서울특별시 용산구 서빙고로24길 4,한강로동,용산구,37.5239431590067,126.968682040826
러빙핸드,아시안/양식,서울특별시 종로구 옥인길 18,청운효자동,종로구,37.5806661015476,126.967595466794
상감치킨,치킨,서울특별시 종로구 창신8길 8,창신2동,종로구,37.5770569195858,127.010458088691
언더바(underbar),아시안/양식,서울특별시 종로구 삼일대로15길 21,종로1.2.3.4가동,종로구,37.5687782396669,126.986244496386
최강달인 춘천닭갈비 명동점,한식,서울특별시 중구 명동4길 23-3,명동,중구,37.562721917729,126.984043834589
카페 뮬(CAFE MULE) 보문점,카페/디저트,서울특별시 성북구 보문로 78,보문동,성북구,37.5822809544965,127.021306528685
코코넛족발닭발 휘경점,족발/보쌈,서울특별시 동대문구 한천로 279,휘경2동,동대문구,37.5858124759575,127.067226568076
김선생 불닭발 성동점,한식,서울특별시 성동구 무학로6길 50,왕십리도선동,성동구,37.5645961982208,127.035023853624
수지상회 건대점,한식,서울특별시 광진구 아차산로33길 30,화양동,광진구,37.5415428090845,127.070519135184
전설낙곱새 용마산점,한식,서울특별시 광진구 답십리로78길 3,중곡3동,광진구,37.5713436856823,127.081525898355
죽이요 용마산점,한식,서울특별시 광진구 답십리로78길 3,중곡3동,광진구,37.5713436856823,127.081525898355
카페 몬스터레빗,카페/디저트,서울특별시 광진구 뚝섬로 673,자양1동,광진구,37.5320429453752,127.084122722726
나정분식,분식,서울특별시 은평구 증산서길 63-6,증산동,은평구,37.5825549051696,126.905278067048
마무,한식,서울특별시 은평구 은평로 245,녹번동,은평구,37.6011049837261,126.935146145667
춘리마라탕(미아롯데점),찜탕,서울특별시 강북구 도봉로10길 40 (미아동),송중동,강북구,37.614456062409,127.031067626172
착한파스타 중계점,아시안/양식,서울특별시 노원구 노원로 330,중계1동,노원구,37.6467905319279,127.070940893709
