place_name,food,address,gu,lat,lng
북경,중식,서울특별시 중구 을지로18길 6,중구,37.5661916237746,126.994728193833
양파이,중식,서울특별시 중구 남대문로1길 43,중구,37.563063624051,126.977202301793
테이블보,아시안/양식,서울특별시 중구 동호로12길 98,중구,37.5594847945253,127.012386134305
그랩어(GRAB A),아시안/양식,서울특별시 용산구 신흥로3가길 10,용산구,37.5413577777893,126.98591720795
몬스터케이브,아시안/양식,서울특별시 용산구 신흥로 25,용산구,37.5408489075025,126.986822740275
촹이,중식,서울특별시 강북구 숭인로 61-10 (미아동),강북구,37.6129106647957,127.0286615593
뮤브로 (mu.bro),돈까스/일식,서울특별시 중랑구 망우로 376,중랑구,37.598229003197,127.093944037119
끼니공방,돈까스/일식,서울특별시 광진구 능동로13길 54,광진구,37.5442666034627,127.069789239165
대한민죽,한식,서울특별시 광진구 광나루로37길 12,광진구,37.5454153480153,127.087792415951
스시텐,돈까스/일식,서울특별시 광진구 천호대로 808,광진구,37.545073523534,127.102739572749
똥구통닭,치킨,서울특별시 도봉구 도봉로153길 13,도봉구,37.6698100767861,127.042692978191
돈대지,한식,서울특별시 노원구 노해로75길 14-17,노원구,37.6546661005854,127.058299641021
현덕 육회 노원점,회,서울특별시 노원구 상계로1길 38-11,노원구,37.6579692388731,127.062090238273
툇마루,한식,서울특별시 은평구 불광로 37-4,은평구,37.6115090213703,126.929858598615
커피원,카페/디저트,서울특별시 종로구 종로5길 58,종로구,37.5729095481038,126.980337085397
몽그리 부뚜막,한식,서울특별시 중구 청구로1길 23,중구,37.5585358838305,127.01844745293
우이동 멸치국수,한식,서울특별시 중구 청구로 64,중구,37.5599601596254,127.015451019186
육회본가,회,서울특별시 중구 퇴계로85길 15,중구,37.5664688941728,127.019530600237
버거스올마이티 갤러리아고메이494 한남점,패스트푸드,서울특별시 용산구 한남대로 91,용산구,37.5365636555465,127.002134363783
언덕카페,카페/디저트,서울특별시 성북구 아리랑로5길 92,성북구,37.598460801081,127.011542058265
웅파이 미아사거리점,아시안/양식,서울특별시 성북구 숭인로 50,성북구,37.61198667089,127.02878397742
도깨비칼국수,한식,서울특별시 강북구 도봉로 183,강북구,37.6250753570745,127.026323056705
이시즈에,돈까스/일식,서울특별시 광진구 능동로 329,광진구,37.5591471910131,127.080318456994
해머스미스커피 서울시립대점,카페/디저트,서울특별시 동대문구 서울시립대로 155,동대문구,37.583880774252,127.054015310688
막바,치킨,서울특별시 도봉구 도봉로110바길 18,도봉구,37.6471378377704,127.037455279253
통돌이 숯불구이,한식,서울특별시 도봉구 마들로11길 71,도봉구,37.6533320500573,127.049337681722
꾸브라꼬 숯불두마리치킨 상계점,한식,서울특별시 노원구 한글비석로31길 11,노원구,37.6611413710408,127.070050372202
줌마비어포차,야식,서울특별시 은평구 통일로65길 3,은평구,37.6089534964541,126.930536447575
홍제동 우동국수,돈까스/일식,서울특별시 은평구 통일로 803-1,은평구,37.6157036234221,126.924254403993
성수 물고기,아시안/양식,서울특별시 성동구 성덕정15길 5-1,성동구,37.5381927426457,127.053666882465
심야식당 그믐,야식,서울특별시 중랑구 사가정로46길 20,중랑구,37.5801608645193,127.084531180441
필살기,아시안/양식,서울특별시 광진구 용마산로8길 22,광진구,37.5595652779125,127.088956882598
(주)타니 서울역점,돈까스/일식,서울특별시 용산구 청파로 378,용산구,37.549118478341,126.970484281315
방방(VINVIN),아시안/양식,서울특별시 용산구 신흥로 99-7,용산구,37.5450019272081,126.9849185859
오퍼스 원,아시안/양식,서울특별시 용산구 이태원로 182,용산구,37.5343432006643,126.994288053397
육회왕자 연어공주(한남점),회,서울특별시 용산구 대사관로34길 13,용산구,37.532604603123,127.006226369423
한와담스테이션,한식,서울특별시 용산구 청파로 378,용산구,37.549118478341,126.970484281315
겨자나무,아시안/양식,서울특별시 중구 청파로 464,중구,37.5608187887289,126.968225883547
전설의 우대갈비(서울시청 직영점),한식,서울특별시 중구 남대문로9길 40,중구,37.5671421016237,126.980368823536
투썸플레이스 을지트윈타워점,카페/디저트,서울특별시 중구 을지로 170,중구,37.5661391831606,126.99732748195
짱구분식,분식,서울특별시 동대문구 서울시립대로2길 2 (전농동),동대문구,37.574024683807,127.046228421097
스텔라떡볶이서울자양점,분식,서울특별시 광진구 뚝섬로43길 13,광진구,37.533574723015,127.076873057026
마라공방,중식,서울특별시 성동구 아차산로17길 48,성동구,37.5463937599992,127.065889477465
