,date,sex,age_group,order_amt,order_cnt
236,202012,여,30대,2824692575,118342
237,202012,여,40대,3312849507,132516
238,202012,여,50대,1169884163,48625
239,202012,여,60대이상,227801888,9411
240,202101,남,20대,685163998,31023
241,202101,남,30대,1692382286,71946
242,202101,남,40대,1556785494,60170
243,202101,남,50대,610311877,24001
244,202101,남,60대이상,137749449,5250
245,202101,여,20대,1240292632,55599
246,202101,여,30대,3336255600,138137
247,202101,여,40대,4082557676,160564
248,202101,여,50대,1367028332,55485
249,202101,여,60대이상,290605648,11359
250,202102,남,20대,584451678,27307
251,202102,남,30대,1494947297,63706
252,202102,남,40대,1413071488,54890
253,202102,남,50대,536584529,21335
254,202102,남,60대이상,125365695,4860
255,202102,여,20대,1064255110,48288
256,202102,여,30대,2968365622,123307
257,202102,여,40대,3697461125,147226
258,202102,여,50대,1239163652,51066
259,202102,여,60대이상,261164843,10418
260,202103,남,20대,641757697,30332
261,202103,남,30대,1666865402,72005
262,202103,남,40대,1612614600,63982
263,202103,남,50대,618739394,25563
264,202103,남,60대이상,148453952,5744
265,202103,여,20대,1176538221,54211
266,202103,여,30대,3302721848,139970
267,202103,여,40대,4130516583,169000
268,202103,여,50대,1456423332,61009
269,202103,여,60대이상,316751023,12857
270,202104,남,20대,653171755,30976
271,202104,남,30대,1671999504,72490
272,202104,남,40대,1646800414,65466
273,202104,남,50대,663225110,27271
274,202104,남,60대이상,150294643,5971
275,202104,여,20대,1169824692,54120
276,202104,여,30대,3319006808,140866
277,202104,여,40대,4290192014,177266
278,202104,여,50대,1544552927,64897
279,202104,여,60대이상,316091830,12887
280,202105,남,20대,726114892,34260
281,202105,남,30대,1893471092,81468
282,202105,남,40대,1847692125,72499
283,202105,남,50대,744323014,30496
284,202105,남,60대이상,176152897,6936
285,202105,여,20대,1263948101,58407
286,202105,여,30대,3627770070,153159
287,202105,여,40대,4726372360,192028
288,202105,여,50대,1729698555,71369
289,202105,여,60대이상,367988332,14794
290,202106,남,20대,679718364,32025
291,202106,남,30대,1708924149,74407
292,202106,남,40대,1655778872,67310
293,202106,남,50대,704360381,29576
294,202106,남,60대이상,166464055,6620
295,202106,여,20대,1135502282,52396
296,202106,여,30대,3242784852,138937
297,202106,여,40대,4383706061,182360
298,202106,여,50대,1668090754,70670
299,202106,여,60대이상,365395066,14791
300,202107,남,20대,840621377,38710
301,202107,남,30대,2212266506,94102
302,202107,남,40대,2263043636,88411
303,202107,남,50대,958326914,38098
304,202107,남,60대이상,232827866,8836
305,202107,여,20대,1483423255,66708
306,202107,여,30대,4311628697,179617
307,202107,여,40대,6001012837,240564
308,202107,여,50대,2281540392,92415
309,202107,여,60대이상,481610714,18792
310,202108,남,20대,865580566,39679
311,202108,남,30대,2229318880,93994
312,202108,남,40대,2272562034,88384
313,202108,남,50대,943710866,37382
