,gu,address,food,name,rating,lat,lng
6756,영등포구,서울 영등포구 국제금융로8길 34 오륜빌딩 3층,야식,진진만두 여의도점,4.32,37.520236283731,126.927238179699
6757,마포구,서울 마포구 와우산로3길 3 1층 상수동떡볶이,분식,상수동떡볶이,4.72,37.5461293624096,126.922740061407
6758,용산구,서울 용산구 두텁바위로 7,야식,구복만두,4.41,37.545406152402,126.972992424883
6759,중구,서울 중구 남대문시장4길 42,야식,가메골손왕만두 남대문본점,4.4,37.558364188842,126.977119642563
6760,용산구,서울 용산구 청파로45길 3 1층,분식,한입소반,4.43,37.5441005921649,126.97031380966
6761,마포구,서울 마포구 양화로6길 45 2층,분식,또보겠지떡볶이집 호호시스터점,4.56,37.5489455525493,126.916814629871
6762,종로구,서울 종로구 백석동길 12,야식,자하손만두,4.13,37.5931379315086,126.966054542213
6763,종로구,서울 종로구 경교장길 35 경희궁자이 3단지 상가 1층 3116호 교남김밥,분식,교남김밥,4.21,37.5688537151032,126.965114852628
6764,은평구,서울 은평구 연서로 247-1,분식,떡산,4.22,37.6195590926439,126.922392857469
6765,마포구,서울 마포구 독막로 71,분식,홍대삭 상수본점,4.43,37.547980816861,126.921363344877
6766,은평구,서울 은평구 연서로 130-1,분식,진김밥,4.31,37.610439108807,126.917221977841
6767,마포구,서울 마포구 와우산로 31 101호,분식,연우김밥,4.41,37.5473157549375,126.922812617952
6768,마포구,서울 마포구 와우산로 116 1층,분식,삼청당 홍대본점,4.7,37.5530980562447,126.926282664647
6769,용산구,서울 용산구 이촌로65가길 72,분식,스마일이촌떡볶이,4.35,37.5208539475824,126.974960986659
6770,용산구,서울 용산구 청파로 83 원효전자상가 4동,분식,면사무소,4.34,37.533426065547,126.960423037075
6771,마포구,서울 마포구 망원로 48,분식,꽃추장,4.56,37.5566446076283,126.902160644094
6772,영등포구,서울 영등포구 의사당대로 38 102동 119호,분식,틈새라면 여의도KBS본관점,4.28,37.5261081409048,126.918710469805
6773,용산구,서울 용산구 효창원로42길 5,야식,두손,4.46,37.5369943996361,126.959921274656
6774,영등포구,서울 영등포구 의사당대로 108 아일렉스,분식,킴스라이스,4.4,37.5210144173791,126.923991634451
6775,중구,서울 중구 을지로 6 1층 104호,분식,청담동마녀김밥 시청점,4.43,37.5653821677485,126.979208538495
6776,종로구,서울 종로구 필운대로 29,분식,벚꽃길부엌,4.73,37.5785789430711,126.968912984518
6777,마포구,"서울 마포구 양화로 188 , 지하 2층(동교동, 공항철도 홍대입구역)",분식,나드리김밥 홍대입구역점,4.21,37.5577458058734,126.926498328277
6778,종로구,서울 종로구 종로1길 50 케이트윈타워 지하1층,분식,크레이지후라이 광화문점,4.35,37.5747244659804,126.979022440109
6779,영등포구,서울 영등포구 당산로28길 9,분식,당산분식,4.3,37.5247761499046,126.897471421038
6780,종로구,서울 종로구 종로3길 17 디타워 1층 소호거리 107호,분식,로라방앗간 광화문 디타워점,4.38,37.5709958592808,126.978914477333
6781,마포구,서울 마포구 양화로7길 12,야식,마포만두 합정점,4.28,37.5514096192093,126.915191676236
6782,은평구,서울 은평구 진흥로1길 20 1층,분식,홍쌤떡볶이,4.49,37.6021751524569,126.918793450519
6783,종로구,서울 종로구 종로5길 7 지하 1층,분식,먹쉬돈나,4.15,37.5706161018862,126.980559892691
6784,은평구,서울 은평구 은평로11길 3-1,분식,요요미,4.35,37.6011855859186,126.923361259625
6785,마포구,서울 마포구 백범로 82-1 1층,분식,세끼김밥,4.64,37.5481679637457,126.940655854584
6786,마포구,서울 마포구 대흥로30길 12,분식,김밥사랑 이대점,4.34,37.5562548940559,126.946750230253
6787,은평구,서울 은평구 통일로 1050 은평롯데몰 4F,분식,두끼 롯데몰은평점,4.31,37.6375366740938,126.917900261732
6788,영등포구,서울 영등포구 당산로 205 효성헤링턴타워,분식,청년다방 서울 당산역점,4.42,37.5328139164328,126.900127560138
6789,은평구,서울 은평구 은평로12길 7-20,분식,금밥,4.49,37.6002969020181,126.925842041015
6790,은평구,서울 은평구 연서로 292,야식,만나만두,4.4,37.621619174472,126.926720824748
6791,영등포구,서울 영등포구 도림로141가길 34-1,분식,영일분식,4.35,37.5163155606086,126.889677665864
6792,강서구,서울 강서구 강서로7길 15,분식,화곡미담분식 까치산점,4.46,37.5295223731895,126.846874747795
6793,용산구,서울 용산구 청파로47길 71,분식,빨봉분식 숙명여대점,4.43,37.5448398200236,126.966454965183
6794,동작구,서울 동작구 만양로 100 한성체대입시학원,분식,빨봉분식 노량진점,4.43,37.5123857060582,126.944401840416
6795,영등포구,서울 영등포구 양평로 51,분식,까치네분식 당산역점,4.3,37.5342566625993,126.900737730566
6796,서초구,서울 서초구 방배중앙로 141-1,분식,서호김밥,4.37,37.4916768903162,126.986695691024
6797,구로구,서울 구로구 연동로 233 상가2동 108호,분식,마이페이보릿띵스,4.75,37.4816933475509,126.820550970604
6798,금천구,서울 금천구 가산디지털1로 186 JEI PLATZ,분식,뚱스분식,4.31,37.4819130872905,126.881581110867
6799,구로구,서울 구로구 남부순환로97길 20-6,분식,닷컴분식,4.3,37.4940384973276,126.858645629031
6800,영등포구,서울 영등포구 여의대로 66 KTB,분식,오늘은분식,4.19,37.5245506689521,126.923707832244
6801,마포구,서울 마포구 포은로2가길 65 B동,분식,좋은열매,4.4,37.5494459180061,126.910346057876
6802,강서구,서울 강서구 곰달래로 177,분식,새마을분식,4.26,37.5311417435513,126.852684618081
6803,마포구,서울 마포구 와우산로23길 9 칼리오페,분식,김가네김밥 홍대점,4.27,37.5534328399931,126.924387637935
6804,강서구,서울 강서구 공항대로55길 34,분식,맛나푸드,4.36,37.5544264523573,126.861481807554
6805,마포구,서울 마포구 와우산로 39,분식,김사또상수본점,4.44,37.5480643849384,126.922797700736
6806,은평구,서울 은평구 연서로 247,분식,옥이네김밥,4.39,37.6196909418421,126.922171955937
6807,중구,서울 중구 남대문로 112,분식,현선이네 청계즉석점,4.41,37.567177380924,126.983017825635
6808,중구,서울 중구 남대문시장2가길 6-13,분식,통통김밥 남대문시장점,4.45,37.5591664975063,126.976969095546
6809,서초구,서울 서초구 방배중앙로25길 15,분식,해남원조김밥,4.51,37.493843011344,126.985258055723
6810,중구,서울 중구 충무로5길 11 기영빌딩 1층,분식,끼니야봉,4.75,37.5650646823881,126.991965582829
6811,강서구,서울 강서구 강서로12길 5-6 1층,분식,명동김밥,4.49,37.5318409452813,126.847452779452
6812,종로구,서울 종로구 삼일대로17길 50 1층,분식,늘솜김밥,4.48,37.5692810839596,126.984765973345
6813,서초구,서울 서초구 방배로 202 1층 고양이부엌,분식,고양이부엌 방배사이길점,4.43,37.4915537211521,126.991579729701
6814,관악구,서울 관악구 신림로59길 15-13,분식,틈새라면 신림점,4.42,37.4827237847854,126.929421310082
6815,강서구,서울 강서구 공항대로 213 1층 117호,분식,보영만두 마곡점,4.51,37.5596993751147,126.831365571556
6816,양천구,서울 양천구 신정중앙로 72 1층 홍봉자치즈굴림만두,야식,홍봉자치즈굴림만두,4.6,37.5266576454038,126.85971732372
6817,마포구,서울 마포구 월드컵북로44길 82,분식,안다미로,4.45,37.5778037874751,126.893542920382
6818,영등포구,서울 영등포구 영중로 15 타임스퀘어,분식,남도분식 타임스퀘어점,4.17,37.5172332566615,126.903715993779
6819,강서구,서울 강서구 강서로45라길 36,분식,목동분식,4.37,37.5492641802799,126.834335645065
6820,양천구,서울 양천구 목동동로 228-2,분식,강릉스낵,4.33,37.5257681359469,126.872142527023
6821,강서구,서울 강서구 공항대로46길 51 1층,분식,화곡미담분식 강서구청점,4.32,37.5537477928734,126.852098383618
6822,구로구,서울 구로구 경인로33길 110,분식,백백분식,4.1,37.5026571923314,126.850264418929
6823,금천구,서울 금천구 벚꽃로 278 롯데팩토리아울렛 주차장입구,분식,왕김말이랑떡볶이,4.12,37.4794931161957,126.884634912937
6824,강서구,서울 강서구 공항대로 627 대신빌딩,분식,동대문엽기떡볶이 염창역점,4.37,37.5472872158845,126.874538741651
6825,구로구,서울 구로구 경인로 661 신도림1차푸르지오,분식,고고즉석떡볶이 신도림점,4.36,37.5090492151745,126.8869873429
6826,구로구,서울 구로구 시흥대로163길 33 주호타워,아시안/양식,이삭토스트 구로디지털단지점,4.49,37.48200020873,126.898099733933
